Town,Population_young,at_least_one_young,percent_young,Population_old,at_least_one_old,percent_old,percent_difference,absolute_growth_apr_22,percent_growth_apr_22
Brewster,2125,1160,54.58823529411765,6264,4792,76.50063856960408,21.912403275486426,320,9.803838930208116
Clinton,5710,2362,41.36602451838879,5208,3658,70.23809523809523,28.87207071970644,538,9.82383292845978
Westminster,2568,1190,46.33956386292835,3074,2455,79.86337020169161,33.52380633876326,279,9.845310989365146
Attleboro,18209,6535,35.88884617496842,17610,11391,64.68483816013628,28.795991985167863,1765,9.86113069308913
Hatfield,1052,540,51.330798479087456,1679,1325,78.91602144133412,27.58522296224667,131,9.8611340717474
Lynnfield,3660,2496,68.1967213114754,5031,4450,88.45160007950706,20.25487876803166,409,9.886767614560242
Erving,763,369,48.361730013106154,873,688,78.80870561282933,30.44697559972317,81,9.88937079923555
Middleton,4131,1990,48.17235536189784,4275,3083,72.11695906432749,23.944603702429646,414,9.89132235090267
Reading,10167,5317,52.29664601160617,10456,8434,80.66182096403979,28.36517495243362,1019,9.914967103691225
Newbury,1808,1048,57.964601769911496,3419,2761,80.75460661011992,22.790004840208425,244,9.951222605585158
Pepperell,4235,1597,37.709563164108616,5269,3413,64.77509963940027,27.065536475291648,476,9.965369608565652
Lunenburg,3450,1691,49.01449275362319,4627,3507,75.79425113464447,26.77975838102128,391,9.969285510691805
Dedham,10087,5299,52.532963219986115,11543,8417,72.91865199688122,20.38568877689511,1062,10.006948042028284
Barre,2007,706,35.176880916791234,2204,1562,70.87114337568056,35.69426245888933,210,10.035836459867767
West Brookfield,1187,427,35.97304128053918,1758,1404,79.86348122866896,43.890439948129774,154,10.046023809318456
Hamilton,2458,1388,56.4686737184703,2982,2536,85.04359490274983,28.574921184279532,267,10.04751044918821
Topsfield,1556,1161,74.61439588688947,2833,2400,84.71584892340275,10.101453036513275,197,10.08242010023254
Paxton,1683,858,50.98039215686275,1819,1587,87.24573941726223,36.26534726039947,176,10.133217829754386
Southbridge,6660,1807,27.13213213213213,6075,3617,59.539094650205755,32.406962518073634,645,10.177733288844394
Brimfield,1262,384,30.42789223454833,1757,1120,63.745019920318725,33.317127685770394,155,10.183625921940482
Nahant,896,592,66.07142857142857,1833,1647,89.85270049099836,23.78127191956979,116,10.207943652092538
Shutesbury,576,258,44.79166666666667,822,546,66.42335766423358,21.631690997566906,66,10.211374695863753
Milford,11941,5463,45.74993719119002,10706,8262,77.17167943209415,31.42174224090413,1163,10.219679004936339
Lee,2012,948,47.117296222664024,2781,2343,84.2502696871629,37.13297346449888,234,10.228381598220835
Stoughton,9858,4830,48.99573950091297,11784,8400,71.28309572301427,22.2873562221013,1092,10.235052614746536
Upton,3219,1378,42.80832556694626,3788,2553,67.39704329461456,24.588717727668303,352,10.235114042054292
Huntington,792,259,32.70202020202021,967,664,68.66597724922441,35.963957047204204,93,10.302873617247982
Woburn,16808,8357,49.72037125178486,16076,11714,72.86638467280419,23.14601342101933,1705,10.343365148339316
Scituate,5222,3152,60.36001531980085,8521,7298,85.64722450416619,25.287209184365334,663,10.360862574365697
Manchester,1222,786,64.32078559738136,2516,2122,84.34022257551669,20.019436978135328,182,10.390261735693542
Easthampton (includes Westhampton),6701,3365,50.216385614087436,7834,5913,75.47868266530509,25.262297051217647,752,10.417169168773157
Sterling,2396,1249,52.12854757929883,3717,2846,76.56712402475114,24.438576445452306,300,10.459107480272692
Norwell,3018,2091,69.28429423459245,4767,3519,73.8200125865324,4.535718351939948,375,10.492488742810608
Bernardston,652,325,49.846625766871156,1034,983,95.06769825918762,45.221072492316466,88,10.493823498000495
Athol (includes Phillipston),5101,1391,27.26916290923349,5406,3602,66.62967073621901,39.36050782698553,555,10.494213701578104
Wendell,163,88,53.98773006134971,391,319,81.58567774936061,27.59794768801091,30,10.534573925595865
Holden,6602,3945,59.754619812178106,7521,6249,83.08735540486637,23.33273559268826,728,10.54944972616508
Swampscott,4264,2867,67.23733583489681,6301,5228,82.97095699095381,15.733621156056998,513,10.58285962530735
Bellingham,7043,2624,37.256850773817966,6659,4687,70.38594383541074,33.129093061592776,725,10.614049831877153
Canton,8280,4573,55.22946859903382,9400,7745,82.3936170212766,27.16414842224277,925,10.641946757117879
Revere,26008,12145,46.69717010150722,21543,14056,65.24625168268115,18.549081581173922,2619,10.678019466278691
Stoneham,7869,4630,58.838480111831245,9903,7661,77.36039583964455,18.521915727813308,908,10.695873495591215
Heath,100,42,42.0,370,143,38.648648648648646,-3.3513513513513544,18,10.702702702702702
Foxborough,6795,3308,48.68285504047093,7049,5722,81.17463469995744,32.491779659486504,740,10.706348527823351
Charlton,4963,1872,37.71912149909329,6039,3925,64.99420433846663,27.27508283937334,591,10.712626641318629
Ayer,3311,1541,46.5418302627605,2884,2397,83.1137309292649,36.571900666504405,333,10.728140678468066
Leicester,4153,1602,38.574524440163735,4544,3142,69.14612676056338,30.57160232039964,467,10.728970954307577
Milton,9416,5784,61.42735768903993,11390,8931,78.4108867427568,16.983529053716868,1079,10.750591338375344
Monterey,223,147,65.91928251121078,558,326,58.422939068100355,-7.496343443110425,33,10.759920921934551
Oak Bluffs,1787,510,28.539451594851705,2463,1296,52.618757612667466,24.07930601781577,219,10.780729957256582
Savoy,113,46,40.70796460176992,346,236,68.20809248554913,27.50012788377921,25,10.80106399304313
Boylston,1484,893,60.17520215633423,1961,1705,86.94543600203976,26.770233845705537,183,10.807168354338131
Sturbridge,3655,1514,41.42270861833106,4153,2909,70.04575006019745,28.623041441866388,423,10.828445344505639
North Attleborough,11789,4835,41.012808550343536,10835,8078,74.55468389478543,33.54187534444189,1229,10.849938992270765
Framingham,32206,15394,47.79854685462335,25190,20150,79.99206034140532,32.19351348678197,3195,10.860568664056402
Braintree,14847,7696,51.83538762039469,15156,12069,79.63182897862234,27.79644135822765,1631,10.899833620959669
Hudson,7877,3745,47.54348102069316,8351,6384,76.44593461860855,28.902453597915393,880,10.910197282864814
Chatham,1225,623,50.85714285714285,3914,3489,89.14154317833417,38.28440032119133,212,10.912621359223294
Marblehead,5265,3542,67.27445394112061,9258,8122,87.7295312162454,20.455077275124797,729,10.96261091508444
Warwick,143,60,41.95804195804196,398,247,62.06030150753769,20.102259549495727,26,11.013107495519556
Waltham,33445,13711,40.99566452384512,19782,14772,74.67394601152562,33.678281487680486,3073,11.030303865731923
Boston,360465,180141,49.974616120843905,185864,134386,72.30340463995181,22.328788519107903,33550,11.05897115116538
Grafton,7660,3908,51.0182767624021,7362,5352,72.69763651181745,21.67935974941535,835,11.060899134146666
Lowell,52178,17645,33.816934340143355,33795,22604,66.88563396952212,33.06869962937876,4721,11.063029144928358
Berlin,974,561,57.59753593429159,1654,1100,66.50544135429263,8.907905420001043,130,11.067687318900873
Sunderland,1989,772,38.81347410759176,1268,958,75.55205047318611,36.738576365594355,193,11.075584484380158
Groton,3732,1997,53.51018220793139,5103,3743,73.34901038604742,19.83882817811603,473,11.08319738782997
Andover,12657,6757,53.38547839140397,14027,11423,81.43580238112212,28.050323989718148,1465,11.10468287891311
Burlington,10842,5669,52.28740084855193,10813,8127,75.15953019513549,22.872129346583556,1211,11.18016271415425
Norwood,11961,6103,51.02416185937631,11836,9341,78.9202433254478,27.896081466071486,1341,11.257792201132261
Everett,22246,9697,43.5898588510294,13837,9520,68.8010406880104,25.211181836981005,2175,11.276802217955463
Leominster,15187,6386,42.049120958714695,16207,11396,70.31529585981365,28.266174901098946,1784,11.324609547003988
Dunstable,1037,491,47.34811957569913,1488,1076,72.31182795698925,24.96370838129012,143,11.36387791499466
Falmouth,8286,4076,49.19140719285542,17639,14489,82.14184477578094,32.95043758292552,1230,11.39509639082435
Rutland,3205,1806,56.34945397815913,3395,2584,76.1119293078056,19.762475329646467,380,11.571849030073125
Hingham,6537,4346,66.48309622150835,11072,8721,78.7662572254335,12.283161003925159,900,11.574772570720128
Walpole,9036,5165,57.16024789729969,10447,8179,78.29041830190484,21.130170404605146,1119,11.6648388948487
Tyngsborough,4511,2126,47.129239636444254,4813,3747,77.85165177643881,30.72241213999456,546,11.728184073255775
Concord,5641,3467,61.46073391242688,9220,7469,81.00867678958784,19.547942877160963,783,11.733531346459785
Colrain,522,208,39.84674329501915,818,574,70.17114914425427,30.32440584923512,79,11.737346485681357
Leverett,624,302,48.39743589743589,1038,764,73.60308285163777,25.205646954201875,88,11.737624129242604
Marlborough,18760,7612,40.575692963752665,15226,11121,73.03953763299619,32.46384466924352,2030,11.746338114833875
Malden,32584,14468,44.40216056960473,20803,14532,69.85530933038504,25.45314876078032,3294,11.800337933327285
Chelmsford,12588,6899,54.806164601207506,15220,11844,77.81865965834427,23.012495057136768,1610,11.866784251484546
Maynard,3967,2191,55.23065288631207,4074,3402,83.50515463917526,28.27450175286319,476,11.887764781093523
Princeton,918,557,60.67538126361657,1664,1375,82.63221153846155,21.956830274844986,139,12.016088486676722
Sharon,6098,3731,61.18399475237783,7449,6132,82.31977446637131,21.135779713993486,785,12.028400756058417
Shrewsbury,15455,7508,48.57974765448076,14522,11641,80.16113482991324,31.581387175432482,1820,12.067118370721573
Ashland,7897,4282,54.223122704824625,7036,5767,81.96418419556565,27.741061490741025,920,12.158257289722854
Medford,28437,15864,55.78647536659985,20538,14989,72.98178985295549,17.195314486355635,3169,12.160995602921133
Mansfield,8961,4459,49.76007142060038,8767,6821,77.80312535645031,28.04305393584993,1080,12.173968519554705
Northampton,12100,5918,48.90909090909091,11370,9822,86.38522427440634,37.476133365315434,1456,12.33126176613824
